Fecha;PM10;PM2-5;Velocidad;Precipitacion;Dirección;O3;CO;NO;NO2;NOX;SO2;T;Radiación;HR
02-03-2023;37,2;29;3,2;0,1;359;21,3;0,7;19,6;22,3;39,9;1,3;20;0;0
03-03-2023;62,4;22;2,9;0;98;17,2;0,7;9,6;16,5;25,1;2,1;21,5;0;0
04-03-2023;62,2;24;3;0;357;12,9;0,7;17,7;15,6;33,3;2,9;18,7;0;0
05-03-2023;24,4;15;3,4;0;354;16,4;0,5;8,4;10,9;19;4,3;20,7;0;0
06-03-2023;40,3;28;2,3;0;355;27,2;0,6;22,7;15,8;38,5;4,1;23,8;0;0
07-03-2023;69,8;39;2,6;0;358;37,2;0,8;34,1;21,1;55,2;5,4;26,3;0;0
08-03-2023;35,5;29;2;0;357;28,8;0,7;42,9;19;62;2,7;22,3;0;0
09-03-2023;12;25;1,8;0;345;14,6;0,7;7,6;23,6;29,9;2,7;14,9;0;0
10-03-2023;50,4;33;2,1;0;350;21;1,1;67,4;17,7;84,9;4,5;22,6;0;0
11-03-2023;18,2;32;1,2;0;352;15;1,2;34,7;29;63,6;2,3;14,4;0;0
12-03-2023;20;21;2,2;0;355;23,5;1;8,7;28;34,9;1;20,6;0;0
13-03-2023;19,5;23;1,8;4,3;351;13,6;1,3;33,9;24,4;58,2;3;17,6;0;0
14-03-2023;31,2;28;2,1;0,3;359;26,6;1;54,9;23,3;71,9;1,2;20,9;0;0
15-03-2023;63,4;38;2,3;0;324;25;1,2;52,8;22,4;73,4;1,4;22,6;0;0
16-03-2023;55,7;39;3;0,3;322;23,5;0,7;39,5;22,4;56,3;3,4;22,5;0;0
17-03-2023;73,7;44;2,3;0,3;352;29,3;0,8;47,7;24;62,9;3;24,3;0;0
18-03-2023;78,1;46;2,6;1,5;359;27,8;1;46,7;19,2;63,5;5,7;23,6;0;0
19-03-2023;34;35;2,8;0,7;350;23,1;0,8;12,4;20,1;32,5;8,8;24,3;0;0
20-03-2023;39,4;38;2,2;0;359;31,1;0,6;11,8;15,5;22,5;2,3;23,6;0;0
21-03-2023;71,4;43;3;0;360;35;0,7;56,4;20,7;77,1;4,8;25,7;0;0
22-03-2023;89,6;54;2,4;0;354;50,7;0,9;24,6;27,3;48,7;3,9;23,7;0;0
23-03-2023;141,4;55;2,7;0;357;39,7;0,8;22;23,1;44,5;3,9;21,9;0;0
24-03-2023;139,4;57;3,1;0;357;37,9;0,8;18,5;30,1;43,1;6,3;24,3;0;0
25-03-2023;95,7;50;2,3;3,6;352;28,9;0,8;7,2;27;31;2,8;19,6;0;0
26-03-2023;54,3;47;4,3;0;357;32;0,6;2,8;15,6;18,2;1,2;21,1;0;0
27-03-2023;97;46;3,1;0;356;29,6;0,7;18,3;27,7;46;1,6;20,8;0;0
28-03-2023;117,2;57;2,2;8,4;358;43,7;1;31,8;32,1;58,1;2,8;23,8;0;0
29-03-2023;75,9;43;3,1;3,3;354;25,6;1;33,2;31,3;64,5;1,2;19,1;0;0
30-03-2023;67,1;43;2,8;0;350;25;0,7;20,2;27,6;41;1,3;20,7;0;0
31-03-2023;61,7;45;3,2;0;359;26,2;0,7;13,3;22,9;36;0,9;19,1;0;0
01-04-2023;66,5;40;2,5;0;347;26,4;0,8;18,2;23,4;41,7;2,8;21,5;0;0
02-04-2023;33,3;19;3,2;0;357;15,6;0,5;11,2;15;26,2;2,6;19,7;0;0
03-04-2023;97,7;46;3,9;0;360;16,9;0,6;37,4;20,9;51,9;6,4;21,1;0;0
04-04-2023;77;37;3,1;0;338;24,1;0,6;17;19,6;36,6;7,6;22;0;0
05-04-2023;63,3;43;2,4;9,6;356;41,2;1,2;31,6;33,5;59;3,7;23,6;0;0
06-04-2023;55,8;36;2,2;0,5;355;30,5;0,7;8,5;18,3;26,8;3,1;20,9;0;0
07-04-2023;38;32;2,6;0;355;30,4;0,5;3,1;13,4;14,7;7,3;22,5;0;0
08-04-2023;40,3;31;2,2;12,7;355;24,4;0,8;7,9;21,3;26,8;4,9;21;0;0
09-04-2023;30;24;3,5;0;355;24,6;0,6;18;16,7;33,2;0,7;19,6;0;0
10-04-2023;56,1;24;3,5;0;360;17,2;0,6;18,4;17,4;33,2;3;20,7;0;0
11-04-2023;45,2;26;2,8;0;357;24;0,7;33,3;20,2;49,1;2,5;21,5;0;0
12-04-2023;81,3;32;2,6;0,8;357;21,5;0,6;40;23,9;59,2;3,2;21;0;0
13-04-2023;78,5;35;2,5;0;353;24,8;0,6;14,4;24,8;34,8;6,6;23,8;0;0
14-04-2023;123,4;54;2,7;0;359;30,5;0,8;35,2;25,4;59,9;8,7;23,1;0;0
15-04-2023;103,4;48;3,1;0;358;22,8;1;29,6;24,9;54,5;10,4;21,6;0;0
16-04-2023;78,9;42;1,8;8,1;357;23,3;0,6;10,8;20,3;28,3;3,1;18,3;0;0
17-04-2023;33,1;29;1,7;7,2;329;43,1;0,9;21,4;27,7;44,9;6,2;24,4;0;0
18-04-2023;46,6;31;2,6;0,6;358;24,7;1;37,2;27,2;61,7;3,3;22,6;0;0
19-04-2023;67,2;43;2,1;3,2;351;43,2;1,2;59,6;28,3;87,9;2,9;23,3;0;0
20-04-2023;61;34;3,7;0;333;23,8;0,7;19,4;21,1;40,3;1,7;22,3;0;0
21-04-2023;53,4;31;2;1,6;348;22,4;0,7;16,6;22,7;39,3;2,3;19,1;0;0
22-04-2023;54,3;31;1,9;0;341;24,4;0,8;23,9;28,2;48,4;1,2;20,3;0;0
23-04-2023;41,6;22;2,7;0,4;342;19,9;0,9;28,2;15,3;42,1;5;23,4;0;0
24-04-2023;39,3;20;2;1,1;337;16,1;0,6;21,7;16,2;36,3;3,8;20,4;0;0
25-04-2023;51,9;41;2,1;3;350;30,4;1;34,1;31,3;61,9;4,9;23,9;0;0
26-04-2023;84,5;48;2;0,6;356;18,9;1;61,3;25,6;86,9;2,2;18,4;0;0
27-04-2023;77,6;32;2,3;4,5;353;24,9;1;49,6;35,6;67,5;4,5;21,2;0;0
28-04-2023;36,9;19;3;0,5;350;14,1;0,7;16,6;16,6;32,6;6,6;20,4;0;0
29-04-2023;46,2;18;3,9;0,2;360;11,5;0,7;29,1;15;44;6,4;21,1;0;0
30-04-2023;32,4;13;3,9;0,2;360;19,4;0,6;16,3;13,7;29,9;5,5;20;0;0
