Fecha;PM10;PM2-5;Velocidad;Precipitacion;Dirección;O3;CO;NO;NO2;NOX;SO2;T;Radiación ;HR
04-03-2023;15,1;14,2;2,9;0,4;351;15,6;0,6;9,9;8,4;18,2;0,4;17,1;0;0
05-03-2023;21;16;2,6;0,6;359;17,1;0,4;6,9;10,1;14;0,8;18,3;0;0
06-03-2023;34,9;27;3,3;2,5;351;22,7;0,9;17,3;26,8;35,7;1,2;20,4;0;0
07-03-2023;50,9;31;2,5;14,2;338;61,6;1,4;69,3;26;90,1;2;21,8;0;0
08-03-2023;63,9;38;2;1,1;346;42,6;1,5;67,2;31,6;93,3;2,1;18,8;0;0
09-03-2023;50,5;33;1,5;2,7;353;22,7;1,9;63,8;46,4;100;2,2;14,4;0;0
10-03-2023;65,5;40;2,9;4,8;353;29,5;1,4;62;40,3;83,8;2,1;19,1;0;0
11-03-2023;34,2;28;1,3;6;347;7,4;1,6;41,8;39;79,5;1,8;12,9;0;0
12-03-2023;32,2;24;1,6;4,7;340;0;1,3;25,3;31,4;55,7;1;15,9;0;0
13-03-2023;31,5;25;1,7;2,3;358;17;1,7;65,6;34;95,4;1,7;16,6;0;0
14-03-2023;54,6;29;3,4;0;205;0;1,6;85,6;20,8;102,8;2;18,3;0;0
15-03-2023;54,1;33;2,9;14,2;355;0;0,8;13;25,4;36,4;1,1;20,2;0;0
16-03-2023;53,1;10;2,2;0,1;358;42,1;1,3;0;0;0;1,9;19,9;0;0
17-03-2023;62,9;34;1,9;4,6;346;49,4;2;45,2;30,2;69,2;2,5;21,1;0;0
18-03-2023;47,3;29;2,3;0,9;347;45;1,3;43,7;21,2;61,1;1,7;21,3;0;0
19-03-2023;39;19;1,7;1,1;330;41,8;0,9;15,7;20,6;33,8;2;21,6;0;0
20-03-2023;38,3;28;1,7;0;348;51,3;0,7;13,5;23,2;32,1;1,5;21,1;0;0
21-03-2023;70;36;2,3;9,5;357;50,5;1,3;70,3;26,4;94,2;2,3;22,5;0;0
22-03-2023;55,8;31;3,5;0,1;221;51,8;0,8;25,5;27;52,5;1,1;19,9;0;0
23-03-2023;94,3;53;3;0,3;344;58;1,2;48,5;29,1;77,6;1,7;19,4;0;0
24-03-2023;72,2;34;2,9;1,6;344;57,8;1;11,7;33,7;45,5;1;20,5;0;0
